repo,parent commit,rank,RR,AP,hit@10,ground truth size,inner corpus size,outer corpus size,repo size
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.6271825396825397,1.0,5,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.9761904761904762,1.0,5,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.9761904761904762,1.0,5,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.9444444444444445,1.0,5,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.9761904761904762,1.0,5,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.810515873015873,1.0,5,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.810515873015873,1.0,5,10,3941,3952
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1.0,1.0,0.8928571428571428,1.0,3,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1.0,1.0,0.7470238095238095,1.0,3,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1.0,1.0,0.48541666666666666,1.0,3,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1.0,1.0,0.5205627705627706,1.0,3,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,16.0,0.0625,0.08633140756302521,0.0,3,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,2.0,0.5,0.5,1.0,0,11,4433,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1.0,1.0,1.0,1.0,0,11,4433,4445
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,14.0,0.07142857142857142,0.07142857142857142,0.0,0,71,3943,4015
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,18.0,0.05555555555555555,0.05555555555555555,0.0,0,71,3943,4015
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1.0,1.0,1.0,1.0,1,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1.0,1.0,0.7,1.0,1,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1.0,1.0,0.8333333333333333,1.0,1,18,1917,1936
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,3.0,0.3333333333333333,0.3333333333333333,1.0,0,12,1450,1463
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,2.0,0.5,0.5,1.0,0,12,1450,1463
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,2.0,0.5,0.5,1.0,0,40,1799,1840
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,1.0,1.0,1.0,1.0,0,40,1799,1840
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,5.0,0.2,0.2,1.0,0,38,4289,4328
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,6.0,0.16666666666666666,0.16666666666666666,1.0,0,38,4289,4328
