repo,parent commit,rank,RR,AP,hit@10,ground truth size,inner corpus size,outer corpus size,repo size
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,1.0,1.0,1.0,1.0,0,33,5404,5438
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,1.0,1.0,1.0,1.0,0,8,5429,5438
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,14.0,0.07142857142857142,0.014487283123496682,0.0,7,34,3917,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,15.0,0.06666666666666667,0.012707565741465622,0.0,7,1,3950,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,14.0,0.07142857142857142,0.056584224301889474,0.0,7,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.25218199443720796,1.0,7,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.23533371942814665,1.0,7,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.28411043948664816,1.0,7,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.2630400221823094,1.0,7,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.19903900306459243,1.0,7,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1.0,1.0,0.24809177442528732,1.0,7,10,3941,3952
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,10.0,0.1,0.02905857142215583,1.0,8,21,4423,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,16.0,0.0625,0.04774960008682835,0.0,8,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,4.0,0.25,0.09990333421201826,1.0,8,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,2.0,0.5,0.127171157823957,1.0,8,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,2.0,0.5,0.12066271057665968,1.0,8,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,21.0,0.047619047619047616,0.044926135436535994,0.0,8,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,6.0,0.16666666666666666,0.10355204527922278,1.0,8,11,4433,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1.0,1.0,0.1783899878502324,1.0,8,11,4433,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,2.0,0.5,0.11026718204875591,1.0,8,43,4401,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,5.0,0.2,0.07352615257552512,1.0,8,73,4371,4445
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,51.0,0.0196078431372549,0.0196078431372549,0.0,0,71,3943,4015
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,86.0,0.011627906976744186,0.011627906976744186,0.0,0,71,3943,4015
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,41.0,0.024390243902439025,0.024390243902439025,0.0,0,134,1623,1758
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,24.0,0.041666666666666664,0.041666666666666664,0.0,0,14,1743,1758
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,21.0,0.047619047619047616,0.048701298701298704,0.0,3,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1.0,1.0,0.37976147012291595,1.0,3,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1.0,1.0,0.2996951219512195,1.0,3,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,2.0,0.5,0.16629618428348203,1.0,3,15,1920,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,8.0,0.125,0.1378032189632909,1.0,3,3,1932,1936
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,4.0,0.25,0.25,1.0,0,3,4123,4127
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,3.0,0.3333333333333333,0.3333333333333333,1.0,0,62,4064,4127
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,232.0,0.004310344827586207,0.004310344827586207,0.0,0,12,1450,1463
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,17.0,0.058823529411764705,0.058823529411764705,0.0,0,12,1450,1463
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,2.0,0.5,0.2692307692307692,1.0,1,21,1818,1840
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,3.0,0.3333333333333333,0.19298245614035087,1.0,1,40,1799,1840
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,3.0,0.3333333333333333,0.2222222222222222,1.0,1,40,1799,1840
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,34.0,0.029411764705882353,0.029411764705882353,0.0,0,38,4289,4328
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,29.0,0.034482758620689655,0.034482758620689655,0.0,0,38,4289,4328
